id,theta,E,ra,dec
91626868500,78.1579,71.4792,38.1089,-34.5202
141120766500,40.64,70.9423,27.72,-71.55
160505007600,56.92,70.8449,36.11,-38.22
111113002900,65.6422,70.5531,28.9418,3.73309
181052108100,79.0497,70.2594,23.383,41.8507
172524228500,73.4387,70.2481,0.302299,-21.0691
122112482600,49.76,70.1986,177.15,12.29
113096660500,38.47,70.1328,26.56,-32.09
150797662700,69.0407,69.9351,246.248,33.7555
72213081100,35.39,69.8799,212.63,-3.14
172291286500,16.13,69.7484,110.84,-39.65
140590014700,25.94,69.5997,239.55,-49.25
143010113000,72.8162,69.5346,82.9101,-0.691154
110457801800,25.47,69.1342,215.49,-10.08
113641418100,51.66,69.0805,207.07,-29.37
110498102800,39.29,68.8989,239.44,3.91
91915491400,26.73,68.7057,294.35,-20.55
142966745400,52.41,68.3927,108.49,-2.52
142065146000,43.36,68.3379,279.85,6.76
103114489800,58.37,68.194,64.08,-46.47
71863015900,45.07,68.0411,219.79,-54.02
90397227200,42.44,68.0248,147.27,-18.1
132247599000,47.82,67.8711,345.43,-9.11
130276964100,26.63,67.7047,201.01,-34.58
92826831800,47.34,67.6977,47.61,11.65
172091139500,24.19,67.5421,122.36,-56.04
111195743800,53.06,67.5214,255.41,-5.03
133298226700,29.28,67.3981,182.31,-14.31
81926339600,20.66,67.3098,306.91,-55.57
113601327900,36.11,67.211,305.45,-34.59
102243286300,62.3137,67.1322,283.352,-28.0915
82822350500,28.74,67.1215,202.24,-16.34
110191995900,43.97,66.9666,268.45,-15.53
180032118700,24.52,66.9445,332.93,-38.17
62967626400,53.9,66.9238,52.96,-4.48
153257450900,39.94,66.9171,71.84,-38.47
100505849900,71.6558,66.9077,226.665,-21.4767
102955095201,27.62,66.8189,7.79,-61.38
41255939100,47.68,66.7716,267.11,-11.33
60646189100,66.6137,66.7623,273.948,-57.2201
80367342000,28.31,66.7158,186.27,-63.44
172224670600,68.017,66.6843,159.202,-58.3521
163144360700,42.55,66.6077,286.42,-56.19
90782524900,7.91,66.5156,27.57,-28.87
82966635100,43.03,66.5086,15.38,-16.93
121837255200,59.76,66.4891,259.87,-32.69
63502192400,17.77,66.2799,305.7,-46.51
83225633600,28.55,66.1189,25.19,-61.58
103197174400,11.32,66.0509,118.59,-37.36
132491826300,55,66.0494,92.09,-64.09
162537895100,74.9973,66.0176,84.3915,38.4827
92020059500,60.8678,65.9323,356.835,-2.79323
163657143600,53,65.9272,205.75,-18.51
152545857400,76.6004,65.9191,204.957,-63.3076
160970914500,27.01,65.9182,316.1,-54.29
43431546200,23.3,65.8775,224.67,-43.98
173457176200,28.89,65.8744,95.75,-47.07
81183160400,36.17,65.8022,110.39,-0.9
182070593000,11.55,65.7365,93.05,-39.65
141516989100,9.46,65.6347,282.08,-30.41
52955028100,15.52,65.4444,332.71,-38.44
162200872000,62.0004,65.3181,35.1292,-18.8018
140640409700,66.6851,65.3173,43.8453,-65.7148
151237003000,45.57,65.1816,205.13,-43.84
72358055400,42.51,65.1728,105.89,-23
133320659200,31.21,65.1664,241.87,-53.45
171692487900,51.51,65.0884,158.54,2.67
140327503300,12.83,65.0079,186.71,-24.9
163025203100,19.6,64.8826,342.63,-43.48
181565513501,7.6,64.8426,241.62,-40.43
153438256600,31.65,64.7105,135.21,-32.97
92626637600,22.35,64.6765,50.16,-26
101824079400,15.36,64.6632,197.86,-19.96
83286880300,47.11,64.6269,126.31,5.29
102352949100,32.01,64.6107,216.27,-66.48
120123584600,31.63,64.4939,15.98,-3.83
163403649300,18.64,64.1171,324.75,-20.52
182400273500,68.1577,64.0374,77.9255,30.0022
172033241001,36.4,63.943,221.52,-16.35
182312054500,16.97,63.8635,184.46,-32.18
172760312500,68.8301,63.8238,202.886,-3.85899
52333254300,65.5491,63.5692,277.268,-1.36139
81425308400,43.34,63.4453,199.42,6.58
131193940500,61.4659,63.4161,137.369,26.0761
132226630600,63.3601,63.389,239.026,-68.9244
72058637700,76.4647,63.2735,194.182,-63.4699
163280948500,36.71,63.0431,166.42,-43.17
171294871200,72.1233,62.9588,202.091,34.3251
100454748000,69.956,62.8309,173.357,-21.1631
111361721600,54.1,62.6997,333.62,-79.15
140087414400,57.84,62.6941,72.91,-73.5
